North Broad,North Broad Regional Rail Station,39.99187796,-75.15371055,-1,[],-1,16,[-1],$
Penn Medicine,Penn Medicine Regional Rail Station,39.94819754,-75.18993213,-1,[],-1,16,[-1],$
Suburban Station,Suburban Station Regional Rail Station,39.95399019,-75.16747097,-1,[],-1,16,[-1],$
Temple University,Temple University Regional Rail Station,39.98147898,-75.14953179,-1,[],-1,16,[-1],$
Wayne Junction,Wayne Junction Regional Rail Station,40.02242328,-75.1599503,-1,[],-1,16,[-1],$
Ambler,Ambler Regional Rail Station,40.15282723,-75.22435961,-1,[],-1,16,[-1],$
Chalfont,Chalfont Regional Rail Station,40.28778027,-75.21107297,-1,[],-1,16,[-1],$
Colmar,Colmar Regional Rail Station,40.26849547,-75.25407914,-1,[],-1,16,[-1],$
Delaware Valley University,Delaware Valley University Regional Rail Station,40.29723547,-75.16178279,-1,[],-1,16,[-1],$
Doylestown,Doylestown Regional Rail Station,40.30619961,-75.13068014,-1,[],-1,16,[-1],$
Fort Washington,Fort Washington Regional Rail Station,40.13531406,-75.21157397,-1,[],-1,16,[-1],$
Fortuna,Fortuna Regional Rail Station,40.25950382,-75.26630566,-1,[],-1,16,[-1],$
Gwynedd Valley,Gwynedd Valley Regional Rail Station,40.1848164,-75.25691317,-1,[],-1,16,[-1],$
Lansdale,Lansdale Regional Rail Station,40.24309098,-75.28486679,-1,[],-1,16,[-1],$
Link Belt,Link Belt Regional Rail Station,40.27389194,-75.24674122,-1,[],-1,16,[-1],$
New Britain,New Britain Regional Rail Station,40.29749061,-75.17964089,-1,[],-1,16,[-1],$
Ninth Street,Ninth Street Regional Rail Station,40.25034972,-75.27875306,-1,[],-1,16,[-1],$
North Hills,North Hills Regional Rail Station,40.11203267,-75.16943719,-1,[],-1,16,[-1],$
North Wales,North Wales Regional Rail Station,40.21435761,-75.27726753,-1,[],-1,16,[-1],$
Conshohocken,Conshohocken Regional Rail Station,40.07211496,-75.30864001,-1,[],-1,16,[-1],$
