Strafford,Strafford Regional Rail Station,40.04969466,-75.40373169,-1,[],-1,16,[-1],$
Thorndale,Thorndale Regional Rail Station,39.99268217,-75.76270437,-1,[],-1,16,[-1],$
Villanova,Villanova Regional Rail Station,40.03865169,-75.34232354,-1,[],-1,16,[-1],$
Wayne,Wayne Regional Rail Station,40.04585255,-75.38725171,-1,[],-1,16,[-1],$
Whitford,Whitford Regional Rail Station,40.01471096,-75.63845666,-1,[],-1,16,[-1],$
Wynnewood,Wynnewood Regional Rail Station,40.00283667,-75.27309096,-1,[],-1,16,[-1],$
Bridesburg,Bridesburg Regional Rail Station,40.01068534,-75.06994308,-1,[],-1,16,[-1],$
Bristol,Bristol Regional Rail Station,40.10493855,-74.85481976,-1,[],-1,16,[-1],$
Cornwells Heights,Cornwells Heights Regional Rail Station,40.07184534,-74.95215616,-1,[],-1,16,[-1],$
Croydon,Croydon Regional Rail Station,40.09355423,-74.90680803,-1,[],-1,16,[-1],$
Eddington,Eddington Regional Rail Station,40.08295793,-74.93373095,-1,[],-1,16,[-1],$
Holmesburg Junction,Holmesburg Junction Regional Rail Station,40.03274536,-75.02367922,-1,[],-1,16,[-1],$
Levittown,Levittown Regional Rail Station,40.14013812,-74.81714811,-1,[],-1,16,[-1],$
North Philadelphia,North Philadelphia Regional Rail Station,39.9972729,-75.15526997,-1,[],-1,16,[-1],$
Tacony,Tacony Regional Rail Station,40.02323799,-75.03902599,-1,[],-1,16,[-1],$
Torresdale,Torresdale Regional Rail Station,40.05440413,-74.98449915,-1,[],-1,16,[-1],$
Trenton Transit Center,Trenton Transit Center Regional Rail Station,40.21842169,-74.75398983,-1,[],-1,16,[-1],$
Ardsley,Ardsley Regional Rail Station,40.11413005,-75.15316411,-1,[],-1,16,[-1],$
Crestmont,Crestmont Regional Rail Station,40.13324886,-75.11864467,-1,[],-1,16,[-1],$
Hatboro,Hatboro Regional Rail Station,40.17558788,-75.10283258,-1,[],-1,16,[-1],$
