Orange Street,Orange Street Trolley Station,39.918478,-75.393998,-1,[],-1,15,[-1],$
Veterans Square,Veterans Square Trolley Station,39.918209,-75.392145,-1,[],-1,15,[-1],$
Olive Street,Olive Street Trolley Station,39.918066,-75.391165,-1,[],-1,15,[-1],$
Jackson Street,Jackson Street Trolley Station,39.917843,-75.389584,-1,[],-1,15,[-1],$
Monroe Street,Monroe Street Trolley Station,39.917592,-75.387766,-1,[],-1,15,[-1],$
Edgmont Street,Edgmont Street Trolley Station,39.917333,-75.385772,-1,[],-1,15,[-1],$
Manchester Avenue,Manchester Avenue Trolley Station,39.91693,-75.382998,-1,[],-1,15,[-1],$
Providence Road,Providence Road Trolley Station,39.916626,-75.380614,-1,[],-1,15,[-1],$
Beatty Road,Beatty Road Trolley Station,39.916071,-75.376861,-1,[],-1,15,[-1],$
Pine Ridge,Pine Ridge Trolley Station,39.914872,-75.369922,-1,[],-1,15,[-1],$
Paper Mill Road,Paper Mill Road Trolley Station,39.915276,-75.357953,-1,[],-1,15,[-1],$
Springfield Mall,Springfield Mall Trolley Station,39.918011,-75.348992,-1,[],-1,15,[-1],$
Thomson Avenue,Thomson Avenue Trolley Station,39.921123,-75.345341,-1,[],-1,15,[-1],$
Woodland Avenue,Woodland Avenue Trolley Station,39.924644,-75.339624,-1,[],-1,15,[-1],$
Leamy Avenue,Leamy Avenue Trolley Station,39.926267,-75.337154,-1,[],-1,15,[-1],$
Saxer Avenue,Saxer Avenue Trolley Station,39.928665,-75.333515,-1,[],-1,15,[-1],$
Springfield Road,Springfield Road Trolley Station,39.934409,-75.329458,-1,[],-1,15,[-1],$
Scenic Road,Scenic Road Trolley Station,39.940734,-75.325872,-1,[],-1,15,[-1],$
Drexeline,Drexeline Trolley Station,39.944559,-75.321592,-1,[],-1,15,[-1],$
Drexelbrook,Drexelbrook Trolley Station,39.947106,-75.315955,-1,[],-1,15,[-1],$
